Company,Tier,Lead_Score,Target_Title,Contact_Name,Email,LinkedIn_URL,Phone,Secondary_Contact,Secondary_Email,Notes
Cologix TOR1 & TOR2,Data Center,95,VP Operations / Facilities Director,,[FIND: firstname.lastname@cologix.com],https://www.linkedin.com/search/results/people/?keywords=VP%20Operations%20Cologix%20Toronto,416-214-4900 (Main),,,[LinkedIn Search: "VP Operations" Cologix Toronto]
eStruxture Data Centers,Data Center,92,Site Manager / Energy Manager,,[FIND: firstname@estruxture.com],https://www.linkedin.com/search/results/people/?keywords=Site%20Manager%20eStruxture%20Toronto,647-370-9100 (Main),,,[LinkedIn Search: "Site Manager" eStruxture]
Equinix TR2,Data Center,90,Regional Facilities Manager,,[FIND: firstname.lastname@equinix.com],https://www.linkedin.com/search/results/people/?keywords=Facilities%20Manager%20Equinix%20Toronto,416-646-9300 (Main),,,[LinkedIn Search: "Facilities Manager" Equinix Toronto]
Rogers Communications Data Center,Data Center,88,Director of Network Operations,,[FIND: firstname.lastname@rogers.com],https://www.linkedin.com/search/results/people/?keywords=Director%20Network%20Operations%20Rogers,416-935-7777 (Main),,,[LinkedIn Search: "Network Operations" Rogers Toronto]
Telus Toronto Data Centre,Data Center,87,Facilities Manager,,[FIND: firstname.lastname@telus.com],https://www.linkedin.com/search/results/people/?keywords=Facilities%20Manager%20Telus%20Toronto,416-507-7400 (Main),,,[LinkedIn Search: "Facilities Manager" Telus Toronto]
Aptum (Cogeco Peer 1),Data Center,85,VP Operations,,[FIND: firstname.lastname@aptum.com],https://www.linkedin.com/search/results/people/?keywords=VP%20Operations%20Aptum%20Toronto,877-727-8577 (Main),,,[LinkedIn Search: "VP Operations" Aptum]
Bell Canada Data Center,Data Center,84,Director of Facilities,,[FIND: firstname.lastname@bell.ca],https://www.linkedin.com/search/results/people/?keywords=Director%20Facilities%20Bell%20Toronto,416-353-7788 (Main),,,[LinkedIn Search: "Facilities Director" Bell Toronto]
Cyxtera Toronto YYZ1,Data Center,83,General Manager / Facilities Lead,,[FIND: firstname.lastname@cyxtera.com],https://www.linkedin.com/search/results/people/?keywords=General%20Manager%20Cyxtera%20Toronto,1-855-699-8372 (Main),,,[LinkedIn Search: "General Manager" Cyxtera Toronto]
Q9 Networks Toronto,Data Center,82,Operations Director,,[FIND: firstname.lastname@q9.com],https://www.linkedin.com/search/results/people/?keywords=Operations%20Director%20Q9%20Networks,416-214-4900 (Main),,,[LinkedIn Search: "Operations Director" Q9 Networks]
PEER 1 Hosting,Data Center,80,Site Manager,,[FIND: firstname.lastname@peer1.com],https://www.linkedin.com/search/results/people/?keywords=Site%20Manager%20PEER%201%20Toronto,877-615-4200 (Main),,,[LinkedIn Search: "Site Manager" PEER 1 Toronto]
Celestica Toronto,Manufacturing,93,Plant Manager / Energy Manager,,[FIND: firstname.lastname@celestica.com],https://www.linkedin.com/search/results/people/?keywords=Plant%20Manager%20Celestica%20Toronto,416-448-5800 (Main),,,[LinkedIn Search: "Plant Manager" Celestica Toronto]
Honda Canada Manufacturing,Manufacturing,96,VP Manufacturing / Facilities Director,,[FIND: firstname.lastname@honda.ca],https://www.linkedin.com/search/results/people/?keywords=VP%20Manufacturing%20Honda%20Alliston,905-434-7711 (Main),,,[LinkedIn Search: "VP Manufacturing" Honda Alliston - HIGHEST PRIORITY]
Linamar Corporation,Manufacturing,91,Director of Operations,,[FIND: firstname.lastname@linamar.com],https://www.linkedin.com/search/results/people/?keywords=Director%20Operations%20Linamar%20Guelph,519-836-7550 (Main),,,[LinkedIn Search: "Director of Operations" Linamar]
Magna International,Manufacturing,90,Plant Manager,,[FIND: firstname.lastname@magna.com],https://www.linkedin.com/search/results/people/?keywords=Plant%20Manager%20Magna%20Aurora,905-726-2462 (Main),,,[LinkedIn Search: "Plant Manager" Magna Aurora]
Bombardier Toronto,Manufacturing,89,Facilities Manager / Energy Lead,,[FIND: firstname.lastname@bombardier.com],https://www.linkedin.com/search/results/people/?keywords=Facilities%20Manager%20Bombardier%20Toronto,416-375-3000 (Main),,,[LinkedIn Search: "Facilities Manager" Bombardier Toronto]
Nestle Canada,Manufacturing,88,Plant Director / Sustainability Manager,,[FIND: firstname.lastname@nestle.com],https://www.linkedin.com/search/results/people/?keywords=Plant%20Director%20Nestle%20Toronto,416-218-2700 (Main),,,[LinkedIn Search: "Plant Director" Nestle Toronto]
Kraft Heinz Toronto,Manufacturing,87,Operations Manager,,[FIND: firstname.lastname@kraftheinz.com],https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Kraft%20Heinz%20Toronto,416-441-5000 (Main),,,[LinkedIn Search: "Operations Manager" Kraft Heinz Toronto]
Maple Leaf Foods,Manufacturing,86,Plant Manager,,[FIND: firstname.lastname@mapleleaffoods.com],https://www.linkedin.com/search/results/people/?keywords=Plant%20Manager%20Maple%20Leaf%20Foods%20Toronto,416-926-2000 (Main),,,[LinkedIn Search: "Plant Manager" Maple Leaf Foods]
Labatt Breweries Toronto,Manufacturing,85,Brewery Manager / Facilities Lead,,[FIND: firstname.lastname@labatt.com],https://www.linkedin.com/search/results/people/?keywords=Brewery%20Manager%20Labatt%20Toronto,416-361-5050 (Main),,,[LinkedIn Search: "Brewery Manager" Labatt Toronto]
Mondelez (Christie Cookie),Manufacturing,84,Plant Director,,[FIND: firstname.lastname@mdlz.com],https://www.linkedin.com/search/results/people/?keywords=Plant%20Director%20Mondelez%20Toronto,416-503-6000 (Main),,,[LinkedIn Search: "Plant Director" Mondelez Toronto]
